top - 09:53:36 up 17 min,  1 user,  load average: 8.10, 7.04, 4.56
Tasks: 191 total,   1 running, 190 sleeping,   0 stopped,   0 zombie
%Cpu(s): 31.6 us, 17.5 sy,  0.0 ni, 47.4 id,  0.0 wa,  1.8 hi,  1.8 si,  0.0 st
MiB Mem :   4617.4 total,   3625.1 free,    791.4 used,    200.9 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   3657.9 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 5011 root      20   0 9891608 328772  96576 S 161.1   7.0  19:25.37 Sf_VCt_L3_FC120Perception
 5016 root      20   0 5278672 130572  74116 S  44.4   2.8   3:13.73 Sf_VCt_L3_FC120Mapping
 1544 root      20   0 1832716  25552  14280 S  33.3   0.5   5:13.89 /home/apps/FT_Apps/VisionServer/VisionServer/bin/VisionServer
 4292 root      20   0 3493636  35536  12180 S  27.8   0.8   3:56.39 ./view_tool_J5_1
 5005 root      20   0 5472880  97112  59884 S  27.8   2.1   3:06.50 Sf_VCt_L3_FC120SensorCamera
 4999 root      20   0 4228764  90220  62996 S  22.2   1.9   3:14.71 Sf_VCt_L3_FC120Localization
16824 root      20   0    6512   2572   2144 R  16.7   0.1   0:00.07 top -d 3 -b -c
 1539 root      20   0  716776  20864  13544 S  11.1   0.4   1:47.86 /home/apps/FT_Apps/Chasis/Chas_SA_FDD_IBCEPSVEHInfo_ADAS_J5_1/bin/Chas_SA_FDD_I+
 1543 root      20   0 3067728  44908  23644 S  11.1   0.9   1:18.60 /home/apps/FT_Apps/Sf_VCt_PlfM/Sf_VCt_J51_PlfMgt/bin/Sf_VCt_J51_PlfMgt
 1201 root      20   0 1272108  12360   7268 S   5.6   0.3   0:39.49 /home/apps/FT_Apps/PcieComService/PcieComServiceApp
 1282 root      20   0 1109048  23368   4460 S   5.6   0.5   0:11.11 ./SPI_Server/SPIService_J5_1
 1312 root      20   0 1271992  10224   3740 S   5.6   0.2   0:58.68 ./CIC_Server/CIC_Server
 1399 root      rt   0  863116  35372  17132 S   5.6   0.7   0:10.42 /home/apps/FT_Apps/TimeManager/Sf_VCt_TimeManager_J5_1/bin/Sf_VCt_TimeManager_J+
 1540 root      20   0  641460  19096  12644 S   5.6   0.4   1:08.63 /home/apps/FT_Apps/Chasis/Chas_SA_FDD_RWSInfo_AP_J5_1/bin/Chas_SA_FDD_RWSInfo_A+
 1681 root      20   0       0      0      0 D   5.6   0.0   0:16.68 [isp_hw1_process]
 4864 root      20   0 1675216  32104  17560 S   5.6   0.7   0:18.75 ./apps/EM_AppM/Sf_VCt_AppM_J5_1/bin/Sf_VCt_AppM_J5_1
    1 root      20   0    4176   1068    948 S   0.0   0.0   0:00.53 /bin/sh /sbin/init
    2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 [kthreadd]
    3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [rcu_gp]
    4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [rcu_par_gp]
    7 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [kworker/u16:0+mcore_workqueue]
    8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [mm_percpu_wq]
    9 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [rcu_tasks_kthre]
   10 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [rcu_tasks_rude_]
   11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [rcu_tasks_trace]
   12 root      20   0       0      0      0 S   0.0   0.0   0:18.02 [ksoftirqd/0]
   13 root      20   0       0      0      0 I   0.0   0.0   0:01.71 [rcu_preempt]
   14 root      rt   0       0      0      0 S   0.0   0.0   0:00.01 [migration/0]
   15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [cpuhp/0]
   16 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [cpuhp/1]
   17 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 [migration/1]
   18 root      20   0       0      0      0 S   0.0   0.0   0:00.54 [ksoftirqd/1]
   21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [cpuhp/2]
   22 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 [migration/2]
   23 root      20   0       0      0      0 S   0.0   0.0   0:00.52 [ksoftirqd/2]
   26 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [cpuhp/3]
   27 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 [migration/3]
   28 root      20   0       0      0      0 S   0.0   0.0   0:00.44 [ksoftirqd/3]
   30 root       0 -20       0      0      0 I   0.0   0.0   0:00.35 [kworker/3:0H-kblockd]
   31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [cpuhp/4]
   32 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 [migration/4]
   33 root      20   0       0      0      0 S   0.0   0.0   0:00.51 [ksoftirqd/4]
   36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [cpuhp/5]
   37 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 [migration/5]
   38 root      20   0       0      0      0 S   0.0   0.0   0:00.52 [ksoftirqd/5]
   39 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworker/5:0-events]
   41 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [cpuhp/6]
   42 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 [migration/6]
   43 root      20   0       0      0      0 S   0.0   0.0   0:00.50 [ksoftirqd/6]
   46 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [cpuhp/7]
   47 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 [migration/7]
   48 root      20   0       0      0      0 S   0.0   0.0   0:00.52 [ksoftirqd/7]
   51 root      20   0       0      0      0 S   0.0   0.0   0:00.01 [kdevtmpfs]
   52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [netns]
   53 root      20   0       0      0      0 S   0.0   0.0   0:00.15 [kauditd]
   54 root      20   0       0      0      0 I   0.0   0.0   0:22.68 [kworker/0:1-events]
   56 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [khungtaskd]
   57 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [oom_reaper]
   58 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [writeback]
   59 root      20   0       0      0      0 S   0.0   0.0   0:00.01 [kcompactd0]
   60 root      25   5       0      0      0 S   0.0   0.0   0:00.00 [ksmd]
   61 root      39  19       0      0      0 S   0.0   0.0   0:00.00 [khugepaged]
   69 root      20   0       0      0      0 I   0.0   0.0   0:00.04 [kworker/4:1-mm_percpu_wq]
   78 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kintegrityd]
   79 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kblockd]
   80 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [blkcg_punt_bio]
   81 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [tpm_dev_wq]
   82 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [edac-poller]
   83 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworker/2:1-events]
   84 root      39  19       0      0      0 S   0.0   0.0   0:00.00 [system]
   85 root      39  19       0      0      0 S   0.0   0.0   0:00.00 [chunk]
   86 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [devfreq_wq]
   87 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [kworker/u16:1+dcore0_workqueue]
   88 root       0 -20       0      0      0 I   0.0   0.0   0:00.42 [kworker/2:1H-kblockd]
   93 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [kswapd0]
   94 root      20   0       0      0      0 S   0.0   0.0   0:00.12 [kiohungcheckd]
   95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworker/u17:0]
   96 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworker/3:1-events]
   97 root      20   0       0      0      0 I   0.0   0.0   0:00.06 [kworker/5:1-mm_percpu_wq]
   98 root      20   0       0      0      0 I   0.0   0.0   0:00.04 [kworker/6:1-mm_percpu_wq]
   99 root      20   0       0      0      0 I   0.0   0.0   0:00.03 [kworker/7:1-mm_percpu_wq]
  113 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworker/4:2-events]
  117 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [mcore_workqueue]
  118 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [hobot_diag_remo]
  119 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [dcore0_workqueu]
  120 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [dcore0_cdump_wo]
  121 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [kworker/u16:2+dcore0_cdump_workqueue]
  122 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [kworker/u16:3+dcore1_workqueue]
  123 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [dcore1_workqueu]
  124 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [dcore1_cdump_wo]
  125 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [kworker/u16:4+dcore1_cdump_workqueue]
  126 root      20   0       0      0      0 I   0.0   0.0   0:00.05 [kworker/u16:5-events_unbound]
  128 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [diag_polling_ca]
  133 root      20   0       0      0      0 I   0.0   0.0   0:00.05 [kworker/1:2-mm_percpu_wq]
  135 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworker/1:4-events]
  137 root      20   0       0      0      0 I   0.0   0.0   0:00.05 [kworker/3:2-mm_percpu_wq]
  140 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [sdhci]
  141 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [irq/25-mmc0]
  152 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [mmc_complete]
  154 root       0 -20       0      0      0 I   0.0   0.0   0:00.27 [kworker/5:1H-kblockd]
  156 root       0 -20       0      0      0 I   0.0   0.0   0:00.31 [kworker/4:1H-kblockd]
  161 root      20   0       0      0      0 I   0.0   0.0   0:00.21 [kworker/u16:6-ext4-rsv-conversion]
  162 root      20   0       0      0      0 S   0.0   0.0   0:00.08 [jbd2/mmcblk0p32]
  163 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [ext4-rsv-conver]
  165 root       0 -20       0      0      0 I   0.0   0.0   0:00.37 [kworker/1:1H-kblockd]
  171 root      20   0    4176   1144   1024 S   0.0   0.0   0:00.00 init
  177 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [jbd2/mmcblk0p29]
  202 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [ext4-rsv-conver]
  317 root       0 -20       0      0      0 I   0.0   0.0   0:00.22 [kworker/7:1H-kblockd]
  365 root       0 -20       0      0      0 I   0.0   0.0   0:00.29 [kworker/6:1H-kblockd]
  724 root      20   0    4704   1724   1100 S   0.0   0.0   0:00.06 busybox mdev -d
  740 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworker/7:3-events]
  742 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [lkof_process]
  744 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworker/6:2-events]
  746 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [hobot_wq]
  758 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [isp_bh_queue]
